=== 2019 RACK RAID EXTRACTION AUDIT CHECKLIST ===

--- LEG 1 ---
Pos 08 | Time: 01:21:59 | Niki Puleio Ogmore Phoenix (Aberdare Valley A)
Pos 09 | Time: 01:22:40 | CJ de Mooi Caldicot A (Spirit of Monmouth A)
Pos 10 | Time: 01:23:58 | Paul Bruton (Lliswerry B)
Pos 11 | Time: 01:25:15 | Dave Hughes Aberdare Valley A (Pont-y-pwl & District A)
Pos 12 | Time: 01:25:31 | Josua Jones (Griffithstown A)
Pos 13 | Time: 01:25:40 | Phil Bristow (San Domenico A)
Pos 14 | Time: 01:25:48 | Dickie Hudd Chepstow B (Griffithstown B)
Pos 15 | Time: 01:25:57 | Matthew Williams (Rhondda Valley A)
Pos 16 | Time: 01:30:20 | Steve Davies (Pont-y-pwl & District A)
Pos 17 | Time: 01:31:04 | Lee Hammond (Fairwater A)
Pos 18 | Time: 01:32:05 | Richard Edge Pegasus A (Lliswerry A)
Pos 19 | Time: 01:32:37 | Nick Hurley (Caerphilly B)
Pos 20 | Time: 01:35:43 | Ian Davies Caerleon (Rhondda Valley A)
Pos 21 | Time: 01:36:53 | Owain Williams Parc Bryn Bach A (Islwyn A)
Pos 22 | Time: 01:38:09 | Robbie Oliver Brackla (Caerphilly A)
Pos 23 | Time: 01:38:24 | Peter Rodger (Caerleon B)
Pos 24 | Time: 01:39:24 | Stephen Smith (Fairwater B)
Pos 25 | Time: 01:39:43 | Andrew Lawrence (Islwyn B)
Pos 26 | Time: 01:40:21 | Roger Freeman Parc Bryn Bach B (Pontypridd B)
Pos 27 | Time: 01:48:25 | Keith Langley (Pont-y-pwl & District B)
Pos 28 | Time: 01:54:00 | Darren Griffiths-Warner Pontypridd A (Pont-y-pwl & District A)
Total Runners Extracted for Leg 6: 28

--- LEG 7 ---
Pos 01 | Time: 00:35:52 | Niki Morgan Chepstow A (Lliswerry A)
Pos 02 | Time: 00:36:40 | Sandra Chipper (Lliswerry A)
Pos 03 | Time: 00:38:09 | Hannah Williams Parc Bryn Bach (Torfaen A)
