=== 2022 RACK RAID EXTRACTION AUDIT CHECKLIST ===

--- LEG 1 ---
Pos 19 | Time: 01:04:41 | Richard Ford (Caldicot A)
Pos 20 | Time: 01:04:42 | Kate Jones Pontypridd A (Pont-y-pwl A)
Pos 21 | Time: 01:05:51 | Ceri Irvine (Caerphilly B)
Pos 22 | Time: 01:06:34 | Claire Dunbar-Bowen Ogmore A (Griffithstown A)
Pos 23 | Time: 01:06:48 | Vicky Roberts Monmouth A (Les Croupiers A)
Pos 24 | Time: 01:08:10 | Nicola Brunnock (Pont-y-pwl B)
Pos 25 | Time: 01:09:45 | Steve Holderness Rhondda A (Monmouth A)
Pos 26 | Time: 01:11:40 | Yangi Vundamina (Caerleon B)
Pos 27 | Time: 01:12:27 | Stephen Quin (Les Croupiers A)
Pos 28 | Time: 01:13:00 | Paul Charles (Pegasus A)
Total Runners Extracted for Leg 5: 28

--- LEG 6 ---
Pos 01 | Time: 01:24:30 | Steve Davies (Pont-y-pwl A)
Pos 02 | Time: 01:25:41 | Ricci Watts (Pont-y-pwl B)
Pos 03 | Time: 01:26:40 | Steve Drewitt Fairwater A (Griffithstown A)
Pos 04 | Time: 01:26:42 | Paul Speyer Brackla A (Pont-y-pwl A)
Pos 05 | Time: 01:28:50 | Daniel Price Parc Bryn Bach (Caerphilly A)
Pos 06 | Time: 01:30:07 | Rob Hook (Chepstow B)
Pos 07 | Time: 01:17:14 | Andy Dean (Griffithstown A)
Pos 08 | Time: 01:31:22 | Phillip Evans (Pontypridd A)
Pos 09 | Time: 01:31:32 | Kevin Harford (Lliswerry B)
Pos 10 | Time: 01:31:51 | Tony Mackay (Pegasus A)
Pos 11 | Time: 01:32:12 | Chase Bray Monmouth A (Chepstow A)
Pos 12 | Time: 01:19:27 | Paul Murrin (Chepstow A)
Pos 13 | Time: 01:32:45 | Dave Jones (Caldicot A)
Pos 14 | Time: 01:33:25 | Cliff Burton Islwyn B (San Domenico B)
Pos 15 | Time: 01:19:09 | Alexander Hutton-Lewis (Caerphilly A)
Pos 16 | Time: 01:22:34 | Craig Collins Lliswerry A (Pont-y-pwl A)
Pos 17 | Time: 01:22:54 | Josh Bond Aberdare A (Lliswerry A)
Pos 18 | Time: 01:39:00 | Jason Pritchard (Caerleon A)
Pos 19 | Time: 01:39:39 | Marcus Meyrick (Les Croupiers A)
Pos 20 | Time: 01:40:00 | Roger Williams (Griffithstown B)
Pos 21 | Time: 01:24:30 | Dafydd Lambeth Islwyn (Fairwater A)
Pos 22 | Time: 01:42:55 | Peter Jones Fairwater B (Griffithstown B)
Pos 23 | Time: 01:43:38 | Stuart Ward Caerphilly B (Les Croupiers B)
Pos 24 | Time: 01:45:02 | Huw Williams Rhondda A (Monmouth A)
Pos 25 | Time: 01:45:26 | Justin Pocknell (Caerleon B)
Pos 26 | Time: 01:29:55 | Nicky Bennett Ogmore (Rhondda A)
Pos 27 | Time: 01:30:10 | Chris Oxley (San Domenico A)
Pos 28 | Time: 01:47:16 | Ken Salvatore Ogmore B (Caerleon B)
Total Runners Extracted for Leg 6: 28

--- LEG 7 ---
Pos 01 | Time: 00:35:37 | Laura Davies (Lliswerry A)
Pos 02 | Time: 00:35:59 | Sarah Bell Chepstow A (Lliswerry A)
Pos 03 | Time: 00:36:32 | Lubi Ford (Pont-y-pwl A)
Pos 04 | Time: 00:38:43 | Joanne Hudson Caerphilly A (Griffithstown A)
Pos 05 | Time: 00:40:12 | Emily Harrison Monmouth (Caerphilly A)
Pos 06 | Time: 00:41:03 | Jan Morris (Chepstow B)
Pos 07 | Time: 00:41:12 | Rose Charles (Griffithstown A)
Pos 08 | Time: 00:41:56 | Charlene Henshall (Caerleon A)
Pos 09 | Time: 00:42:14 | Sarah Woodley- Williams (San Domenico A)
Pos 10 | Time: 00:42:40 | Alison Williams (Caerphilly B)
Pos 11 | Time: 00:42:47 | Rhiannon Jenkins Parc Bryn Bach A Parc Bryn Bach A (Independent A)
Pos 12 | Time: 00:42:56 | Michelle Taylor (Islwyn A)
Pos 13 | Time: 00:43:39 | Richard Beach Caldicot (San Domenico A)
Pos 14 | Time: 00:44:13 | Hollie Jehu (Aberdare A)
Pos 15 | Time: 00:44:14 | Carly Bunston Islwyn (Brackla B)
